date,value
1971-04-01,7.31
1971-05-01,7.425
1971-06-01,7.529999999999999
1971-07-01,7.604000000000001
1971-08-01,7.6975
1971-09-01,7.6875
1971-10-01,7.628
1971-11-01,7.55
1971-12-01,7.4799999999999995
1972-01-01,7.4375
1972-02-01,7.324999999999999
1972-03-01,7.298
1972-04-01,7.29
1972-05-01,7.3725000000000005
1972-06-01,7.372
1972-07-01,7.3950000000000005
1972-08-01,7.4
1972-09-01,7.42
1972-10-01,7.42
1972-11-01,7.4275
1972-12-01,7.442
1973-01-01,7.4375
1973-02-01,7.4399999999999995
1973-03-01,7.458
1973-04-01,7.5424999999999995
1973-05-01,7.6525
1973-06-01,7.734
1973-07-01,8.05
1973-08-01,8.496
1973-09-01,8.815
1973-10-01,8.77
1973-11-01,8.581999999999999
1973-12-01,8.5375
1974-01-01,8.54
1974-02-01,8.455
1974-03-01,8.406
1974-04-01,8.5825
1974-05-01,8.972
1974-06-01,9.085
1974-07-01,9.28
1974-08-01,9.586
1974-09-01,9.9575
1974-10-01,9.9775
1974-11-01,9.788
1974-12-01,9.615
1975-01-01,9.431999999999999
1975-02-01,9.105
1975-03-01,8.9025
1975-04-01,8.82
1975-05-01,8.906
1975-06-01,8.8925
1975-07-01,8.89
1975-08-01,8.942
1975-09-01,9.13
1975-10-01,9.224
1975-11-01,9.145
1975-12-01,9.0975
1976-01-01,9.016
1976-02-01,8.8125
1976-03-01,8.754999999999999
1976-04-01,8.73
1976-05-01,8.765
1976-06-01,8.8475
1976-07-01,8.934000000000001
1976-08-01,9.0
1976-09-01,8.977500000000001
1976-10-01,8.93
1976-11-01,8.8125
1976-12-01,8.792
1977-01-01,8.7225
1977-02-01,8.67
1977-03-01,8.6875
1977-04-01,8.751999999999999
1977-05-01,8.8275
1977-06-01,8.8575
1977-07-01,8.941999999999998
1977-08-01,8.94
1977-09-01,8.896
1977-10-01,8.9225
1977-11-01,8.9225
1977-12-01,8.959999999999999
1978-01-01,9.015
1978-02-01,9.145
1978-03-01,9.202000000000002
1978-04-01,9.355
1978-05-01,9.5725
1978-06-01,9.708
1978-07-01,9.74
1978-08-01,9.785
1978-09-01,9.756
1978-10-01,9.8575
1978-11-01,10.1075
1978-12-01,10.346
1979-01-01,10.39
1979-02-01,10.4075
1979-03-01,10.425999999999998
1979-04-01,10.4975
1979-05-01,10.69
1979-06-01,11.036
1979-07-01,11.092500000000001
1979-08-01,11.094
1979-09-01,11.3
1979-10-01,11.6375
1979-11-01,12.830000000000002
1979-12-01,12.9
1980-01-01,12.8775
1980-02-01,13.040000000000001
1980-03-01,15.2825
1980-04-01,16.325000000000003
1980-05-01,14.262
1980-06-01,12.71
1980-07-01,12.192499999999999
1980-08-01,12.559999999999999
1980-09-01,13.1975
1980-10-01,13.791999999999998
1980-11-01,14.205
1980-12-01,14.79
1981-01-01,14.904
1981-02-01,15.1325
1981-03-01,15.4
1981-04-01,15.58
1981-05-01,16.402
1981-06-01,16.695
1981-07-01,16.832
1981-08-01,17.285
1981-09-01,18.16
1981-10-01,18.454
1981-11-01,17.825
1981-12-01,16.945999999999998
1982-01-01,17.485
1982-02-01,17.5975
1982-03-01,17.16
1982-04-01,16.892
1982-05-01,16.677500000000002
1982-06-01,16.697499999999998
1982-07-01,16.816
1982-08-01,16.27
1982-09-01,15.43
1982-10-01,14.608
1982-11-01,13.825
1982-12-01,13.624
1983-01-01,13.2475
1983-02-01,13.0425
1983-03-01,12.8
1983-04-01,12.782
1983-05-01,12.6325
1983-06-01,12.870000000000001
1983-07-01,13.422
1983-08-01,13.81
1983-09-01,13.725999999999999
1983-10-01,13.535
1983-11-01,13.435
1983-12-01,13.419999999999998
1984-01-01,13.3675
1984-02-01,13.2325
1984-03-01,13.386000000000001
1984-04-01,13.6525
1984-05-01,13.942499999999999
1984-06-01,14.416
1984-07-01,14.6675
1984-08-01,14.469999999999999
1984-09-01,14.35
1984-10-01,14.129999999999999
1984-11-01,13.638
1984-12-01,13.18
1985-01-01,13.075
1985-02-01,12.92
1985-03-01,13.169999999999998
1985-04-01,13.195
1985-05-01,12.913999999999998
1985-06-01,12.215
1985-07-01,12.032499999999999
1985-08-01,12.186
1985-09-01,12.1925
1985-10-01,12.135
1985-11-01,11.784
1985-12-01,11.26
1986-01-01,10.886
