,date,delta_national_home_price_index,GDP_incre_lastQuarter,CPI_change_rate,delta_PCE,delta_capacity_util,delta_real_interest_rate,delta_fed_fund_rate,delta_stickyCPI,delta_housing_started,delta_housing_completed,delta_personal_saving_rate,delta_unemploy_rate,delta_employ_rate_nonagri
0,1986-01-01,,0.012982146612037226,,,,,,,,,,,
1,1986-02-01,,0.012982146612037226,-0.0018214941283911656,-0.0024436468519688503,-0.6501999999999981,0.07669514999999993,-0.28000000000000025,-0.12326999999999999,-124.0,30.0,0.6000000000000014,0.5,0.0017672730996625141
2,1986-03-01,,0.012982146612037226,-0.00548447444216027,0.0012048621181879327,-0.6469999999999914,-0.41469836000000004,-0.3799999999999999,0.12440999999999997,28.0,3.0,0.5999999999999996,0.0,-0.0009817806928296147
3,1986-04-01,,0.014254058478856635,-0.003673098711860945,0.004099814889444886,0.003199999999992542,-0.26087713999999984,-0.4900000000000002,-0.04020999999999997,57.0,-71.0,-0.20000000000000107,-0.10000000000000053,0.000462416505282226
4,1986-05-01,,0.014254058478856635,0.0027560881019796923,0.00783463525820327,0.07250000000000512,0.0982854099999999,-0.14000000000000057,-0.18558000000000002,-79.0,148.0,-0.3999999999999986,0.10000000000000053,6.384411694171366e-05
5,1986-06-01,,0.014254058478856635,0.00366300775873718,0.0014687371503061541,-0.38630000000000564,0.5378934900000001,0.07000000000000028,0.13812999999999998,-7.0,-161.0,0.09999999999999964,0.0,-0.0002640872901776836
6,1986-07-01,,0.008272450164501066,0.0009136592686749268,0.006791020195936248,0.3977000000000004,-0.5914559600000002,-0.3600000000000003,-0.12207999999999997,-65.0,50.0,-0.09999999999999964,-0.20000000000000018,0.0005356403303077295
7,1986-08-01,,0.008272450164501066,0.0009128252573598061,0.006020987773208475,-0.21159999999999002,-0.0724471499999999,-0.3899999999999997,0.02432000000000001,25.0,41.0,-0.40000000000000036,-0.09999999999999964,0.0005895906032600262
8,1986-09-01,,0.008272450164501066,0.0036429912785012064,0.024939968033830695,0.13069999999999027,-0.36885427999999987,-0.28000000000000025,0.08804999999999996,-120.0,-31.0,-1.8000000000000007,0.09999999999999964,-0.0007906526291733273
9,1986-10-01,,0.013619556904105323,0.0018165309263977747,-0.013176135209534756,0.2360000000000042,0.3153281699999999,-0.040000000000000036,0.023430000000000006,-6.0,50.0,1.200000000000001,0.0,0.00043904983712916845
10,1986-11-01,,0.013619556904105323,0.001813237124181022,-0.001535495840224499,0.20879999999999654,-0.12316819999999984,0.1900000000000004,-0.11418,-58.0,11.0,0.29999999999999893,-0.09999999999999964,-0.0007809013367464646
11,1986-12-01,,0.013619556904105323,0.0036166404701880595,0.023188955687553303,0.6302000000000021,-0.20015202999999993,0.8700000000000001,0.03075,210.0,47.0,-1.7999999999999998,-0.3000000000000007,0.0007168390745710962
12,1987-01-01,,0.0107840017530485,0.005400553180000323,-0.020767357955800314,-0.4198999999999984,0.06083136999999983,-0.4800000000000004,0.03533000000000003,-59.0,22.0,2.6000000000000005,0.0,0.00010271697038155558
13,1987-02-01,0.006256374516929952,0.0107840017530485,0.0035842332278148703,0.022300998317745346,0.9107999999999947,-0.02598438000000014,-0.33000000000000007,-0.045910000000000006,10.0,-91.0,-1.200000000000001,0.0,-0.0005068310113738317
14,1987-03-01,0.005209762570713927,0.0107840017530485,0.0035714323675977155,0.0038570288880404036,-0.03300000000000125,-0.023795900000000092,0.03000000000000025,0.010799999999999976,-58.0,-77.0,-0.09999999999999964,0.0,-1.4774924092075814e-05
